Timestamp,Gender,What is your age?,What is your religion?,Which area do you come from?,How many siblings do you have?,Have you ever visited any counselor/therapist?,What is your relationship status?,How many hours of sleep do you get everyday?,What kind of dreams do you get?,Which food do you prefer?, Do you have your meals on time?,How many litres of water do you drink in a day?,Do you workout often?,What time do you normally wake up in the morning?,What time do you normally wake up in the morning on an off-day?,Did your school have a counselor?, What kind of school did you attend?,How did you travel to school?,Which was your favorite subject?," During school life, have you had any concerns about your/your friend's mental health e.g. stress, anxiety, low mood?","If yes, did you feel you had enough understanding and information on the problem?",Who has supported you/your friend with mental health stuff?,What was your financial condition growing up?,What is your opinion about ‘peer pressure’?,What stream did you choose? (Higher Secondary School),What age did you get a phone for yourself?,How often did you participate in non-curricular activities?, Were you ever part of the school cabinet? (Head girl/ Head boy or house captain), Were you ever part of the school sports team?,How often were you called to the principal’s office for any form of mischief/misbehavior?,Do you talk to one or more of your classmates from your school days on a  weekly or daily basis?,What areas of life do you think impact mental health that you might want help with,Which relationships do you feel you might want support with. This could include education and strategies to cope with problems., Do you like reading books? ,Do you read the newspaper/ keep up with the happenings of the world?,What social media platforms do you use? ,Do you look forward to the weekend?,What is your plan for a holiday?,How hopeful are you about achieving your college related goals or future job prospects?,What makes you happy?,What are your energy levels like when I finish my day?,How much time do you have to travel to reach your place of study?,How excited do you get for your birthday?, Do you smoke? ,How often do you consume alcohol?,Stigma,Do you meditate or use other techniques in order to feel relaxed or happy?,Does your college/university have a counsellor?,Would you say that your college is addressing the mental health concerns among its students?,"Do you agree or disagree, that college life affects your mental health?",What are the major reasons you feel in a way college life may affect your mental health?,Do you as a student have a good social life at university/college?,Do you have good friends at college/university?,Do you participate in extra curricular activities?,Do you feel respected and wanted among your classmates?,Do you get enough free time in college/university?,Does your college have a proper schedule that the staff maintains to follow?,Are you enjoying the course you are studying?,Do you feel like you are studying something new and useful in college/university?,Are you happy/satisfied with the marks which you achieve?,Do you feel you are doing well now in college/university in comparison to your school or high school performances?,Do you feel pressure in order to meet the deadlines to submit assignments or projects?,"Do you find sufficient time to focus on your hobbies, extra curricular activities?","Can you balance personal, social, and academics responsibilities?",Do you right now have a clear vision of what you want to achieve  career-wise in future?,Are you happy with your college life?,Have you or anyone you know experienced cyber bullying?
3/30/2021 13:37:59,Male,22,Hindu,Rural,2,Yes,Single,Between 4 and 7,Nightmare,Homemade,Yes,3.5 L,Yes,Never a constant time,Never a constant time,Yes,Co-ed (Girls and boys),Bus or van with other students,Science,Yes,Yes,"Parent, Professional","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Sometimes,No,No,Only a few times,No,Fear of the future/planning the future,With my parents,No,No,"Facebook, Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",3,Being around people you love,3,1 hour,3,Never smoked,Never,,No,Yes,Yes,Agree,Pressure to succeed in academics,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,No,Yes,Not sure,Yes,No
3/30/2021 13:38:55,Male,22,Christian,Urban,1,Yes,Single,More than 8,Good,Homemade,Sometimes,3.5 L,Sometimes,Between 7 am and 9 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Bus or van with other students,Languages (English/ Konkani/ Hindi/ French/ Portuguese/ Sanskrit),Maybe,No,Parent,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Sometimes,No,No,Never,Yes,"Body image, Suicidal thoughts, Parental/family mental health, Phone addiction/fights",With my friends (difficulties or break downs/loss of the friendship),No,Sometimes,"Facebook, Instagram",Yes,"Hangout with friends and family, dear ones",3,Being around people you love,3,2 hours,3,Never smoked,Never,,Sometimes,Maybe,Maybe,Neutral,"Uncertainty about which major or career path to choose, Submissions and project work",Maybe,Yes,Yes,Maybe,No,Maybe,I don't know,Maybe,No,No,Yes,No,Maybe,Not sure,Maybe,Yes
3/30/2021 13:40:18,Male,23,Hindu,Rural,1,No,Single,Between 4 and 7,Good,Homemade,Yes,2.5 L,Yes,Never a constant time,After 9 am,Yes,Co-ed (Girls and boys),Bus or van with other students,Science,Maybe,,,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before 12th std (10th std - 11th std),When I was forced to,Yes,No,Never,Yes,"School stress, Body image, Anxiety and or depression, Self esteem, Fear of the future/planning the future","With my teachers, With my friends (difficulties or break downs/loss of the friendship), BF or GF",No,Sometimes,Instagram,Yes,"Hangout with friends and family, dear ones",1,"Being around people you love, Being around animals, Food",3,2 hours,1,Never smoked,Never,,No,Yes,,Agree,"Pressure to succeed in academics, Uncertainty about which major or career path to choose, Submissions and project work",No,Maybe,No,Maybe,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3/30/2021 13:40:25,Female,22,Christian,Rural,1,No,Single,Between 4 and 7,Good,Homemade,Sometimes,2.5 L,Don't get time,Between 7 am and 9 am,After 9 am,Yes,All girls,Car or bike,Mathematics,No,,I did not want support,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before/during UG,Sometimes,No,No,Never,No,,"With my parents, With my teachers, With my friends (difficulties or break downs/loss of the friendship), BF or GF, Siblings",Yes,Yes,"Facebook, Instagram, Twitter",No,Do nothing,4,"Being around people you love, Your work/study, Being around animals, Food",3,Less than 1 hour,2,Never smoked,On occasion,,Sometimes,Yes,Not aware,Neutral,"Pressure to succeed in academics, Increased social media use",I don't know,I don't know,No,I don't know,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Yes,Yes,Yes,No
3/30/2021 13:42:10,Male,23,Hindu,Rural,2,No,Single,More than 8,Good,Homemade,Yes,2.5 L,Sometimes,Between 7 am and 9 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Car or bike,History,No,,,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Commerce,Before/during PG,Sometimes,Yes,Yes,Never,No,School stress,With my parents,Yes,Yes,"Facebook, Instagram, Twitter",Yes,"Hangout with friends and family, dear ones",4,"Being around people you love, Food",2,2 hours,4,Never smoked,Never,,Sometimes,I don't know,Not aware,Agree,Financial stress,Yes,Yes,No,Yes,No,Maybe,Maybe,Yes,No,No,Yes,No,Maybe,Not sure,Sometimes,No
3/30/2021 13:44:23,Male,21,Hindu,Rural,1,No,In a relationship,More than 8,Good,Outside food,Sometimes,1.5  L,No,Never a constant time,Never a constant time,Yes,Co-ed (Girls and boys),Car or bike,Science,Yes,Yes,Partner,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Sometimes,No,Yes,Many times,Yes,"Anxiety and or depression, Self esteem, Parental/family mental health, I think parents need an information/support group",BF or GF,Yes,Sometimes,"Facebook, Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",3,"Being around people you love, Being around animals, Food",3,Less than 1 hour,3,"Yes, frequently",Very Often,,No,Yes,Maybe,Agree,Pressure to succeed in academics,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,No,No,Yes,Sometimes,No,No,Maybe,No
3/30/2021 13:45:13,Male,23,Christian,Rural,2,No,Single,More than 8,Good,Outside food,Yes,Less than 1.5 L,Sometimes,Between 7 am and 9 am,After 9 am,Yes,All boys,Bus or van with other students,Science,Maybe,Yes,"Teacher, Parent","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before 12th std (10th std - 11th std),Sometimes,Yes,No,Never,Yes,"School stress, Family problems, Gender/Sexuality, Body image, Anxiety and or depression, Self esteem","With my parents, With my teachers, With my friends (difficulties or break downs/loss of the friendship)",No,No,Snapchat,Yes,"Hangout with friends and family, dear ones",4,Being around people you love,4,Less than 1 hour,4,,Never,,Yes,Yes,Yes,Neutral,"Pressure to succeed in academics, Uncertainty about which major or career path to choose",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
3/30/2021 13:46:23,Female,23,Hindu,Urban,1,No,In a relationship,Between 4 and 7,Good,Outside food,Sometimes,3.5 L,Don't get time,Never a constant time,After 9 am,No,Co-ed (Girls and boys),Bus or van with other students,Science,No,,Friend,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Always did,Yes,Yes,Never,Yes,"School stress, Family problems, Self esteem, Eating disorders",With my teachers,Yes,No,"Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",1,Being around people you love,1,2 hours,2,Never smoked,On occasion,,No,Yes,Maybe,Agree,Submissions and project work,Maybe,Maybe,Yes,I don't know,No,Maybe,No,Maybe,No,No,Yes,No,No,No,No,Yes
3/30/2021 13:49:15,Male,22,Christian,Urban,1,No,Idk ,More than 8,Nightmare,Homemade,Sometimes,1.5  L,Yes,Between 7 am and 9 am,Between 7 am and 9 am,Yes,All boys,Bus or van with other students,Mathematics,No,Yes,Partner,Finding it difficult to make ends meet,"It’s fine, if it does not get you into trouble",Commerce,Before 10th std,Always did,Yes,Yes,Never,Yes,"Family problems, Anxiety and or depression, Self-harm, Sex and relationships, Fear of the future/planning the future, Phone addiction/fights",With my friends (difficulties or break downs/loss of the friendship),Yes,No,"Facebook, Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",4,Being around people you love,3,2 hours,4,"Used to smoke, but not anymore",On occasion,,No,Yes,Yes,Agree,Pressure to succeed in academics,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/30/2021 13:50:16,Female,23,Jain,Rural,More than 4,No,In a relationship,More than 8,Good,Homemade,Yes,3.5 L,Yes,Before 5 am,Before 5 am,Yes,All girls,Bus or van with other students,Mathematics,Yes,Yes,There wasn't support I wanted to access,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before 12th std (10th std - 11th std),Sometimes,No,Yes,Only a few times,Yes,Fear of the future/planning the future,With my friends (difficulties or break downs/loss of the friendship),No,No,"Facebook, Instagram",Yes,"Hangout with friends and family, dear ones",1,"Being around people you love, Food",3,2 hours,2,Never smoked,Never,,No,Yes,Yes,Agree,Pressure to succeed in academics,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Sometimes,No,No,No,No
3/30/2021 13:54:18,Female,22,Hindu,Urban,1,No,Single,Between 4 and 7,Nightmare,Outside food,No,Less than 1.5 L,No,Never a constant time,Never a constant time,Yes,All girls,Bus or van with other students,Mathematics,No,,,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before 12th std (10th std - 11th std),Never,No,No,Only a few times,No,"School stress, Family problems, Anxiety and or depression, Self esteem, Sex and relationships, Fear of the future/planning the future, Parental/family mental health, Friendship issues, Eating disorders, Domestic and family violence/fighting at home, Phone addiction/fights, I think parents need an information/support group","With my parents, With my teachers, With my friends (difficulties or break downs/loss of the friendship), BF or GF",Yes,No,"Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",1,"Being around people you love, Food",5,Less than 1 hour,5,Never smoked,On occasion,,No,Maybe,No,Agree,"Uncertainty about which major or career path to choose, Increased social media use, Submissions and project work",Maybe,I don't know,No,No,Sometimes,No,No,No,No,No,Yes,No,No,No,No,No
3/30/2021 13:56:46,Female,22,Christian,Urban,1,Yes,Single,More than 8,Good,Homemade,Yes,1.5  L,Sometimes,After 9 am,After 9 am,Yes,All girls,Bus or van with other students,Mathematics,Maybe,No,"Friend, Professional","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Commerce,Before 12th std (10th std - 11th std),Sometimes,No,No,Many times,Yes,"Family problems, Fear of the future/planning the future, Parental/family mental health","With my parents, Siblings",Yes,Sometimes,"Facebook, Instagram",Yes,"Hangout with friends and family, dear ones",3,"Being around people you love, Food",4,1 hour,5,Sometimes,On occasion,,Sometimes,Yes,Yes,Agree,"Pressure to succeed in academics, Uncertainty about which major or career path to choose, Submissions and project work",Yes,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,No
3/30/2021 13:57:19,Male,22,Hindu,Urban,More than 4,Yes,In a relationship,Between 4 and 7,Nightmare,Homemade,Sometimes,2.5 L,Yes,Never a constant time,Never a constant time,Yes,Co-ed (Girls and boys),Bus or van with other students,Languages (English/ Konkani/ Hindi/ French/ Portuguese/ Sanskrit),Maybe,Yes,Friend,"Can afford the necessities, not more","It’s fine, if it does not get you into trouble",Others,Before 10th std,Always did,Yes,No,Many times,Yes,Anxiety and or depression,With my friends (difficulties or break downs/loss of the friendship),No,No,"Facebook, Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",5,Being around people you love,3,Less than 1 hour,5,Sometimes,Very Often,,Sometimes,Maybe,Not aware,Neutral,"Pressure to succeed in academics, Uncertainty about which major or career path to choose",Maybe,Yes,Yes,Maybe,Sometimes,Yes,Yes,Yes,Yes,Maybe,Maybe,Sometimes,Maybe,Not sure,Yes,Yes
3/30/2021 13:59:33,Male,25,Hindu,Urban,1,No,Single,Between 4 and 7,Dreams of failure,Homemade,No,Less than 1.5 L,No,Never a constant time,Never a constant time,No,All boys,Bus or van with other students,Geography,No,No,There wasn't support I wanted to access,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before/during UG,Never,No,No,Many times,No,"Family problems, Anxiety and or depression, Suicidal thoughts, Fear of the future/planning the future, Friendship issues","With my teachers, With my friends (difficulties or break downs/loss of the friendship)",Yes,Sometimes,,No,work a like idot  so that i can do my submissions,1,i think the word happiness disappeared fro my life,2,1 hour,1,,,,No,Maybe,No,Agree,"Pressure to succeed in academics, Submissions and project work",No,No,No,No,Sometimes,No,No,Maybe,No,No,Yes,No,No,No,No,No
3/30/2021 14:01:15,Female,24,Hindu,Urban,1,No,Single,More than 8,Good,Homemade,Yes,Less than 1.5 L,No,Between 5 am and 7 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Foot,Mathematics,Yes,No,I did not want support,"Can afford the necessities, and occasional luxuries",Never had peer pressure,Commerce,Before/during UG,Sometimes,Yes,No,Never,Yes,Fear of the future/planning the future,"With my parents, With my friends (difficulties or break downs/loss of the friendship), Siblings",No,Sometimes,"Facebook, Instagram",Yes,"Hangout with friends and family, dear ones",4,Being around people you love,3,Less than 1 hour,2,Never smoked,Never,,No,Yes,Maybe,Neutral,Uncertainty about which major or career path to choose,Maybe,Yes,Yes,Yes,Sometimes,Maybe,Yes,Yes,Maybe,No,Sometimes,Sometimes,Yes,Not sure,Sometimes,No
3/30/2021 14:07:39,Male,22,Hindu,Rural,1,No,In a relationship,Between 4 and 7,Nightmare,Outside food,Sometimes,1.5  L,Yes,Between 7 am and 9 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Car or bike,Science,Yes,No,"Partner, Parent","Can afford the necessities, not more","It’s fine, if it does not get you into trouble",Science,Before 12th std (10th std - 11th std),Sometimes,No,Yes,Only a few times,No,School stress,"With my parents, BF or GF",No,No,Instagram,Yes,Sleep,4,Being around people you love,4,Less than 1 hour,5,Never smoked,On occasion,,No,Yes,Maybe,Disagree,Financial stress,No,Yes,No,,No,No,I don't know,Maybe,No,No,Maybe,No,Maybe,No,Maybe,No
3/30/2021 14:09:09,Male,23,Hindu,Rural,1,No,In a relationship,Between 4 and 7,Nightmare,Homemade,Sometimes,1.5  L,Don't get time,Between 7 am and 9 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Bus or van with other students,Mathematics,Yes,Yes,There wasn't support I wanted to access,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before 12th std (10th std - 11th std),Always did,No,Yes,Only a few times,No,"Family problems, Gender/Sexuality, Suicidal thoughts, Self-harm, Sex and relationships, Cyber Bullying, Phone addiction/fights","With my friends (difficulties or break downs/loss of the friendship), BF or GF",No,No,"Facebook, Instagram, Twitter",Yes,Do nothing,4,"Being around people you love, Your work/study",2,Less than 1 hour,1,Never smoked,On occasion,,No,Yes,Maybe,Neutral,"Pressure to succeed in academics, Uncertainty about which major or career path to choose, Submissions and project work",Yes,Yes,Yes,Yes,No,No,No,Maybe,No,Maybe,Yes,Sometimes,Maybe,Yes,Sometimes,Yes
